abbrev,significado
Acct,Accounting
Adv,Advertising
Agr ,Agriculture
Arch ,Architecture
Art,Artist
Astr ,Astronomy
Bld ,.Building
Bus. Mgr,Business Management and
C. Eng,Civil Engineering
Ch. Science ,Christian Science
Chem ,Chemist
Cons,Consular Service
Cons. Eng ,.Consulting Engineer
Cont,Contractor
Dent,Dental Medicine
Dip ,Diplomatic Service
E. Cont,Electrical Contractor
E. Eng,Electrical Engineering
Ed ,.Education
Ed. Adm ,Education Administration
Edit ,Editorial Work
Eff ,Efficiency
Emp. Mg ,Employment management
Fin ,Finance
For ,Forestry
Geol,.Geology
Gov,Government Service
S. Gov ,State Gov Service
M. Gov ,Municipal Gov Service
Ind. Eng,Industrial Engineer
Ins ,Insurance
Int. Dec ,Interior Decorator and
Jour ,Journalism 
Jud ,Judiciary
L. Arch ,Landscape Architecture
L. P. W ,"Lighting, Power, or Water"
Law ,.Law 
Lib ,Library Work
Lit,Letters
M. C.,.Member of Congress
M. P.,.Member of Parliament
Mech. Eng ,Mechanical Engineering
Med ,.Medicine 
Merc,.Mercantile Business
Met. Eng ,Metallurgical Engineering
Mfg ,Manufacturing
Mil,Military Service 
Min ,.Ministry
Min. Adm ,Ministry Administration
Mining ,.Mining 
Mining Eng ,Mining Engineer
Mus,.Music
Nav. Arch ,.Naval Architecture
Navy ,Naval Service
Oil ,Oil
Publ,.Publishing and printing
Real,.Real Estate
Res,.Research
Ret,.Retired
San. Eng,Sanitary Engineering
Sc. ,Science
Sec.,Private Secretary
Ship,.Shipping
Soc. Serv,.Social Service
Tel,.Telephone
Trans,.Transportation
Tru,Trustee
Vet,.Veterinary Medicine
Student,Student
