abrevia,clave
Adm,Administration
Aero,Aeronautical
Agt,Agent
Am,American
Arch,Architectural
Archt,Architect
Assn,Association
Assoc,Associate
Asst,Assistant
Av,Avenue
Bldg,Building
Blvd,Boulevard
Bros,Brothers
Bur,Bureau
Bway,Broadway
Capt,Captain
CCC,Civilian Conservation Corps
Ch,Chairman
Chem,Chemical
Co,Company
Coll,College
Comdr,Commander
Comm,Commercial
Comn,Commission
Conn,Connecticut
Cons,Consulting
Consol,Consolidated
Const,Construction
Corp,Corporation
C,Court
Dept,Department
Develop,Development
Dir,Director
Dist,District
Div,Division
E,East
Ed,Education
Elec,Electric - Electrical
Eng,Engineering
Engr,Engineer
Equip,Equipment
Exp,Experimental
G E Co,General Electric Company
Gen Mgr,General Manager
Geol,Geological
Inc,Incorporated
Ins,Insurance
Insp,Inspector
Inst,Institute
Instr,Instructor
Internat,International
Invest,Investment
Jr,Junior
Lab,Laboratory
Lt,Lieutenant
Mach,Machine
Maint,Maintenance
Mech,Mechanical
Med,Medical
Metall,Metallurgist
Met,Metropolitan
Mfg,Manufacturing
Mfr,Manufacturer
Mgr,Manager
Mut,Mutual
N,North
Nat,National
Off,Office
Ont,Ontario
Ord,Ordnance
Pkwy,Parkway
Pl,Place
Pres,President
Prod,Production
Prof,Professor
Prop,Proprietor
Pub,Public
PWA,Public Works Administration
Que,Quebec
Rd,Road
Rep,Representative
Res,Research
Rm,Room
RR,Railroad
Ry,Railway
s,South
Secy,Secretary
Soc,Society
Sq,Square
St,Street
Supt,Superintendent
Supvr,Supervisor
Tech,Technical
Tel,Telephone Telegraph
Terr,Terrace
Treas,Treasurer
TVA,Tennessee Valley Authority
Univ,University
US,United States
USA,United States Army
USN,United States Navy
VPres,Vice President
