edu,edu2
mining eng,mining eng
electrical eng,electrical eng
NA,NA
civil eng,civil eng
unknown,unknown
geology,geology
mech,mechanical eng
zoology,zoology
student,student
english,english
mechanical eng,mechanical eng
economics,economics
chemistry,chemistry
history,history
physics,physics
drawing,drawing
botany,botany
ingeniero topografo e hidromensor,topographer
arquitecto,architect
metallurgical eng,metallurgical eng
physiology,physiology
hydrological,hydrological
chemist,chemistry
ingeniero agronomo,agronomist
road inspector,road inspector
enginner,enginner
ingeniero de caminos puertos y canales,civil eng
ingeniero arquitecto,architect
general science,general science
ingeniero topografo e hidrografo,topographer
greek,greek
ingeniero topografo e hidrografo-caminos puertos y canales,topographer
drawing and painting,drawing and painting
romanic languages,romanic languages
latin,latin
law,law
ingeniero geografo-topografo e hidrografo,geographer
maestro de obras,maestro de obras
mathematics,mathematics
topografo e hidrografo,topografo e hidrografo
mechanical,mechanical eng
education,education
german,german
entomology,entomology
mechanics,mechanical eng
philosophy,philosophy
ingeniero topografo e hidromensor-ensayador y apartador,topographer
ingeniero ensayador,assayer
ensayador,ensayador
romanic philology,romanic philology
b.itany,botany
botanv,botany
ethics,ethics
bionomics,bionomics
architect,architect
agricultural,agricultural
hygiene and organic training,hygiene eng
industriall eng,industrial eng
ingeniero geografo topografo o hidrografo,geographer
classical philology,classical philology
astronomy,astronomy
ingeniero geografo,geographer
graduate student,graduate student
psychology,psychology
historv,history
engiish,english
ingeniero mecanico,mechanical eng
ingeniero geografo-caminos puertos y canales,geographer
mathematics.,mathematics
ingeniero topografo,topographer
instructor,instructor
ingeniero de alinas,mining eng
romanic lane pomona high schoo languages,romanic languages
ingeniero de caminos puertos y canales y obras en los puertos,civil eng
ingeniero arquitecto-caminos puertos y canales,architect
bachelor arts,bachelor arts
master science,master science
bachelor science,bachelor science
chemical,chemical
business,business
NA,NA
sanitary,sanitary
biology,biology
naval,naval
aeronautical,aeronautical eng
elec eng,electrical eng
architecture,architecture
general,general
sb,sb
agri.,agricultural eng
electrochemical,electrochemical
marine,marine eng
master arts,master arts
l.d.,law
army ordinance,army ordinance
civ. eng.,civil eng
fuel and gas eng,fuel and gas eng
science and literature,science and literature
ll.b,law
building,building
a. a,a a
m.d,medical
sm,master science
e.b.,eb
geol.,geologist
industrial eng,industrial eng
min eng,mining eng
n. y.,NA
l.b.,law
s. d,s d
phd,phd
ph.d,phd
barch,bachelor arts
p. s.,p s
cph,cph
management,management
pb.d,phd
d.m.d,dmd
e.a.,ea
e.v.,ev
scd,scd
t.e.,te
m.d.,medical
ll. b,law
min. eng.,mining eng
eleo. eng.,electrical eng
"ph. c., chicago college of pharmacy, 1896",phd
"ll. b., university of michi gan",law
aeronautics,aeronautical eng
home address,NA
d.h.,dh
o.t.,ot
