year,usdtopound,poundtousd,yentousd,frtousd,mxtousd,bolivusd,ruptousd
1887,0.2061,4.852013586,0.662727,0.192901235,0.780031201,1,0.819990296
1888,0.2053,4.870920604,0.662727,0.192901235,0.747943156,1,0.798830979
1889,0.2054,4.868549172,0.662727,0.192901235,0.749625187,1,0.803310613
1890,0.2057,4.861448712,0.662727,0.192901235,0.833333333,1,0.875060768
1891,0.2057,4.861448712,0.662727,0.192901235,0.786163522,1,0.811861935
1892,0.2052,4.873294347,0.662727,0.192901235,0.693481276,1,0.730994152
1893,0.2056,4.86381323,0.662727,0.192901235,0.621118012,1,0.705252918
1894,0.205,4.87804878,0.541761,0.192901235,0.50530571,1,0.63902439
1895,0.2046,4.887585533,0.47125,0.192901235,0.520833333,1,0.664711632
1896,0.2053,4.870920604,0.520455,0.192901235,0.524109015,1,0.701412567
1897,0.2056,4.86381323,0.512046,0.192901235,0.467945718,1,0.744163424
1898,0.2063,4.847309743,0.48892,0.192901235,0.461041955,1,0.775569559
1899,0.2056,4.86381323,0.498579,0.192901235,0.481927711,1,0.778210117
1900,0.2056,4.86381323,0.495056,0.192901235,0.484966052,1,0.778210117
1901,0.2052,4.873294347,0.49375,0.192901235,0.473036897,1,0.779727096
1902,0.2053,4.870920604,0.495,0.192901235,0.418935903,1,0.779347297
1903,0.2056,4.86381323,0.50006,0.192901235,0.421052632,1,0.778210117
1904,0.2054,4.868549172,0.48886,0.192901235,0.502260171,1,0.778967868
1905,0.2056,4.86381323,0.4925,0.192901235,0.495540139,1,0.778210117
1906,0.2061,4.852013586,0.49625,0.192901235,0.502260171,1,0.776322174
1907,0.2058,4.859086492,0.49426,0.192901235,0.498007968,1,0.777453839
1908,0.2055,4.866180049,0.49419,0.192901235,0.497265042,1,0.778588808
1909,0.2052,4.873294347,0.49568,0.192901235,0.497265042,1,0.779727096
1910,0.2056,4.86381323,0.49625,0.192901235,0.498007968,1,0.778210117
1911,0.2057,4.861448712,0.49477,0.192901235,0.497017893,1,0.777831794
1912,0.2055,4.866180049,0.495,0.192901235,0.496770989,1,0.778588808
1913,0.2054,4.868549172,0.49583,0.192901235,0.481231954,1,0.778967868
1914,0.2028,4.930966469,0.49375,0.196270854,0.30284676,1,0.788954635
1915,0.2102,4.75737393,0.49125,0.179565452,0.089653936,1,0.761179829
1916,0.2098,4.766444233,0.49875,0.169865806,0.041967433,1,0.762631077
1917,0.2099,4.764173416,0.505,0.173490632,0.524934383,1,0.762267747
1918,0.2099,4.764173416,0.51,0.178062678,0.553403431,1,0.762267747
1919,0.2259,4.426737494,0.51938,0.136817622,0.503778338,1,0.708277999
1920,0.2729,3.664345914,0.49761,0.070397747,0.49776008,1,0.586295346
1921,0.2598,3.849114704,0.48179,0.074554537,0.490677134,1,0.615858353
1922,0.2258,4.428697963,0.48125,0.08201427,0.487804878,1,0.708591674
1923,0.2186,4.574565416,0.48625,0.060812454,0.486618005,1,0.731930467
1924,0.2264,4.416961131,0.411522634,0.052366988,0.483558994,,
1925,0.2071,4.828585225,0.409836066,0.047671259,0.49382716,,
1926,0.2058,4.859086492,0.471698113,0.032427524,0.483325278,,
1927,0.2057,4.861448712,0.473933649,0.039240308,0.472589792,,
1928,0.2055,4.866180049,0.465116279,0.039209536,0.481231954,,
1929,0.2059,4.856726566,0.460829493,0.039160401,0.481927711,,
1930,0.2057,4.861448712,0.495049505,0.039249549,0.471253534,,
1931,0.2205,4.535147392,0.487804878,0.039200314,0.411353353,,
1932,0.2852,3.50631136,0.280898876,0.039275755,0.315457413,,
1933,0.236,4.237288136,0.256410256,0.050311934,0.283286119,,
1934,0.1985,5.037783375,0.296735905,0.065690074,0.277777778,,
1935,0.204,4.901960784,0.287356322,0.066010958,0.27785496,,
1936,0.2012,4.970178926,0.289855072,0.061139643,0.277777778,,
1937,0.2023,4.943153732,0.288184438,0.040459621,0.277777778,,
1938,0.2045,4.88997555,0.284090909,0.02878112,0.221483942,,
1939,0.2255,4.4345898,0.25974026,0.025102922,0.193012932,,
1940,0.2611,3.829950211,0.234192037,0.020826825,0.185150898,,
1941,0.248,4.032258065,0.234192037,0.399680256,0.205888408,,
1942,0.2478,4.03551251,,0.884173298,0.206185567,,
1943,0.2478,4.03551251,,0.900090009,0.206185567,,
1944,0.2478,4.03551251,,0.898472597,0.206185567,,
1945,0.2481,4.030632809,,0.019711036,0.206185567,,
1946,0.248,4.032258065,,0.008409014,0.206185567,,
1947,0.2482,4.029008864,,0.008406964,0.206185567,,
1948,0.2481,4.030632809,,0.00324,0.174216028,,
1949,0.2712,3.687315634,,0.003017001,0.124843945,,
1950,0.357,2.801120448,,0.002858,0.115606936,,
1951,0.3571,2.80033604,,0.002856,0.115606936,,
