"","prof","len"
"59","K",1
"26","Kgl",3
"28","Vor",3
"53","Geh",3
"67","Bex",3
"74","geh",3
"133","Mal",3
"23","eine",4
"40","Poch",4
"41","Berg",4
"48","Rath",4
"71","pens",4
"75","lebt",4
"77","Kais",4
"92","Rica",4
"102","Lebt",4
"104","Span",4
"122","Harz",4
"125","Zeit",4
"127","sich",4
"135","Thun",4
"147","Vera",4
"39","lange",5
"47","Wirkl",5
"69","Gegen",5
"83","Gräfl",5
"105","Jetzt",5
"131","Lugan",5
"132","jetzt",5
"140","Modum",5
"149","Haven",5
"27","einige",6
"34","Berg-u",6
"35","Königl",6
"37","Hütten",6
"56","Fürstl",6
"58","Kielce",6
"80","Uznach",6
"119","Aussig",6
"121","Huelva",6
"128","Kralup",6
"146","Fabrik",6
"150","Fahlun",6
"157","Pilsen",6
"158","Angola",6
"161","Geodät",6
"165","Pulawy",6
"31","Herzogl",7
"44","Steiger",7
"46","Mineria",7
"68","Schicht",7
"89","Obersee",7
"99","Rentier",7
"110","Wattwyl",7
"117","Teschen",7
"124","Spanien",7
"145","Lasalle",7
"148","Graupen",7
"153","Laurium",7
"167","Neudorf",7
"6","Bergrath",8
"49","Badensch",8
"52","Prommern",8
"57","Geheimer",8
"63","Stadtger",8
"65","Zehntner",8
"73","geheimer",8
"106","Capitain",8
"111","Dobschau",8
"155","Titiribi",8
"163","Bleiberg",8
"164","Probirer",8
"15","Grossherz",9
"43","Königlich",9
"50","Gegen-und",9
"88","Stadtrath",9
"91","Witkowitz",9
"95","Landwirth",9
"96","Kammerath",9
"100","Angangueo",9
"107","Bergcorps",9
"116","Ringerige",9
"129","Fürstilch",9
"138","Wunsiedel",9
"143","Stollberg",9
"151","Wettersee",9
"160","Almagrera",9
"1","Bergeister",10
"2","Marienberg",10
"8","Calculator",10
"14","Kammerherr",10
"16","Kammerrath",10
"19","Lieutenant",10
"33","Amanuensis",10
"62","Zubossbote",10
"66","Zubussbote",10
"85","Harzgerode",10
"123","Bergeamter",10
"156","Krakujevac",10
"159","Rederendar",10
"166","Washington",10
"10","Obersteiger",11
"11","Geschworner",11
"17","Münzwardein",11
"21","Goldkranach",11
"22","Bergschreib",11
"25","Bergwardein",11
"76","Oberschlema",11
"84","Bergamtsass",11
"93","Ausbeut-und",11
"103","Particulier",11
"114","Buschiehrad",11
"137","Reichenbach",11
"139","Wallenstadt",11
"141","Berggenieur",11
"142","Fünfkirchen",11
"154","Geistlicher",11
"4","Untersteiger",12
"12","Stadtrichter",12
"13","Landcavalier",12
"18","Oberzehntner",12
"20","Oberbergrath",12
"36","Kunststeiger",12
"42","Kammerjunker",12
"45","Schmiedeberg",12
"55","Maschinenbau",12
"72","freiwilliger",12
"79","Schulamtmann",12
"97","Hüttenraiter",12
"126","Marskcheider",12
"136","Oberbergratg",12
"144","Eisenbahnbau",12
"29","Bergamtscopit",13
"30","Hofkammerrath",13
"32","Recessschreib",13
"54","Hessen-Darmst",13
"81","Bergcommissär",13
"90","Hüttenrendant",13
"118","Oberstlieuten",13
"152","Reichsanstalt",13
"60","Bergamtsassess",14
"78","Oberwiesenthal",14
"82","Hüttenprobirer",14
"86","Berggeshworner",14
"113","Eisenhüttenbes",14
"120","Schichtmesiter",14
"130","Staatsgeognost",14
"134","Polytechnikums",14
"162","Legationscanzl",14
"7","Berggeschworner",15
"9","Hüttenvorsteher",15
"61","Oberbergamtsref",15
"64","Stollnvorsteher",15
"108","General-Lieuten",15
"109","Privatgelehrter",15
"115","Grosso-Handlung",15
"38","Oberhüttenraiter",16
"51","berg-Commissions",16
"70","Bergbefehlshaber",16
"5","Stollnobersteiger",17
"112","Eisengiessereibes",17
"3","Oberschiedswardein",18
"98","Artillerie-General",18
"168","Bergrechungrevisor",18
"94","Ober-Chausseewärter",19
"101","Oberhüttenvorsteher",19
"24","Bergschreibrei-Verweser",23
"87","Oberhüttenamts-Registrator",26
